time	V(vin)	V(vout)
1.833107199947622e-004	-1.731760e-003	1.758071e-002
1.853107199947622e-004	-1.593203e-003	1.620971e-002
1.873107199947622e-004	-1.429520e-003	1.458410e-002
1.893107199947622e-004	-1.243294e-003	1.272512e-002
1.913107199947622e-004	-1.037459e-003	1.065762e-002
1.933107199947622e-004	-8.152633e-004	8.409934e-003
1.953107199947622e-004	-5.802104e-004	6.013713e-003
1.973107199947622e-004	-3.360072e-004	3.503643e-003
1.983107199947622e-004	-2.116738e-004	2.217507e-003
1.993107199947622e-004	-8.652268e-005	9.177476e-004
2.000000000000000e-004	2.572996e-018	1.654100e-005
